Name,Dealer name,Mileage,Rating,Rating Count,Price in $
2019 Mercedes-Benz AMG G 63 Base,"Discovery Auto Center, LLC","4,183 mi.",3.7,78 ,"249,990"
2020 Mercedes-Benz GLB 250 Base 4MATIC,AutoNation Buick GMC Park Meadows,"11,448 mi.",4.5,300 ,"49,444"
2018 Mercedes-Benz GLE 350 Base 4MATIC,Elite Auto Brokers,"21,158 mi.",4.8,543 ,"47,900"
2019 Mercedes-Benz AMG C 63 S,Bill Page Honda,"10,446 mi.",4.7,"1,620 ","79,991"
2021 Mercedes-Benz GLB 250 Base 4MATIC,Mercedes-Benz of Westmont,"6,294 mi.",4.5,623 ,"48,577"
2014 Mercedes-Benz SLK-Class SLK 250,Mercedes-Benz of Wesley Chapel,"84,119 mi.",4.5,415 ,"23,994"
2018 Mercedes-Benz GLE 350 Base,Bonham Chrysler Jeep Dodge Ram,"32,299 mi.",4.7,"1,188 ","43,815"
2015 Mercedes-Benz GLK-Class GLK 350 4MATIC,AutoNation Honda West Knoxville,"83,402 mi.",4.8,"1,353 ","22,990"
2018 Mercedes-Benz S-Class S 560,Mercedes-Benz Of Henderson,"39,595 mi.",4.9,"1,603 ","69,992"
2017 Mercedes-Benz C-Class C 300 4MATIC,Merlex Auto Group,"70,015 mi.",3.8,539 ,"30,899"
2015 Mercedes-Benz S-Class S 63 AMG,Mercedes-Benz of Fredericksburg,"95,913 mi.",4.6,266 ,"59,000"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,Auto Web Expo,"23,093 mi.",4.6,677 ,"48,789"
2018 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Chantilly,"23,232 mi.",4.5,816 ,"35,800"
2019 Mercedes-Benz CLA 250 Base,Mercedes-Benz of San Jose,"14,304 mi.",4.6,536 ,"33,952"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Certified Benz & Beemer,"17,341 mi.",4.9,"10,895 ","64,500"
2017 Mercedes-Benz SL 450 Base,Autos of Dallas,"47,086 mi.",4.3,"1,294 ","59,880"
2018 Mercedes-Benz GLS 450 Base 4MATIC,21 Century Auto Group,"45,993 mi.",4.4,"2,737 ","46,921"
2019 Mercedes-Benz AMG E 53 Base 4MATIC,BMW of Sarasota,"17,362 mi.",4.7,"7,391 ","81,472"
2015 Mercedes-Benz GLK-Class GLK 350 4MATIC,Koons Kia Owings Mills,"60,667 mi.",4.6,147 ,"24,805"
2018 Mercedes-Benz AMG C 43 Base 4MATIC,eCarOne,"25,829 mi.",4.8,"1,724 ","57,850"
2016 Mercedes-Benz CLA-Class CLA 250 4MATIC,AutoNation Honda Renton,"30,888 mi.",4.6,785 ,"27,990"
2015 Mercedes-Benz S-Class S 550 4MATIC,Mercedes-Benz of Greenwich,"104,017 mi.",4.1,78 ,"38,995"
2021 Mercedes-Benz GLE 350 Base,Autos of Dallas,"19,024 mi.",4.3,"1,294 ","64,480"
2015 Mercedes-Benz C-Class C 300 4MATIC,BMW of Bridgeport,"56,890 mi.",4.8,"1,998 ","23,621"
2012 Mercedes-Benz GL-Class GL 450 4MATIC,Sports & Imports,"130,570 mi.",3.4,14 ,"15,995"
2020 Mercedes-Benz GLB 250 Base,AutoNation Toyota Gulf Freeway,"26,838 mi.",4.4,933 ,"41,991"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes Benz of Hoffman Estates,"38,787 mi.",4.7,"1,057 ","56,999"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,Motor Werks - Barrington Auto Mall,"25,041 mi.",4.8,"4,607 ","54,991"
